Model Name,Mean Square Error,Root Mean Square Error,R2,Mean Absolute Error
Univariate LSTM,752200.721,867.2950599,0.901485264,655.4488382
LSTM,2314334.309,1521.29363,0.696894646,822.3553972
Multi-Linear Regression,15014859.66,1181.448703,0.672991544,740.5295704
ARIMA,379529815.4,19481.52498,-20.54701715,14616.73145
Random Forest Regression,701552704.2,6570.377158,-4.391731494,5345.319233
Prophet,764633100.7,27651.99994,-42.41045649,26664.36189
Exponential Smoothing,1039858131,32246.83134,-58.03578608,31829.3746
,,,,
,,,,
,,d,,
